source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
24,ex24,task133_mirror_ud,True,False,ok,"(26, 12)","(26, 12)","(26, 12)",0,v4_plus9_compiler
24,ex24,task133_zero_pad_top_left,True,False,ok,"(27, 13)","(27, 13)","(27, 13)",0,v4_plus9_compiler
24,ex24,task133_zero_pad_bottom_right,True,False,ok,"(27, 13)","(27, 13)","(27, 13)",0,v4_plus9_compiler
25,ex25,original,True,False,ok,"(30, 25)","(30, 25)","(30, 25)",0,v4_plus9_compiler
25,ex25,task133_color_bijection,True,False,ok,"(30, 25)","(30, 25)","(30, 25)",0,v4_plus9_compiler
25,ex25,task133_transpose,True,False,ok,"(25, 30)","(25, 30)","(25, 30)",0,v4_plus9_compiler
25,ex25,task133_mirror_lr,True,False,ok,"(30, 25)","(30, 25)","(30, 25)",0,v4_plus9_compiler
25,ex25,task133_mirror_ud,True,False,ok,"(30, 25)","(30, 25)","(30, 25)",0,v4_plus9_compiler
25,ex25,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(31, 26)>(30, 30)","(31, 26)","(31, 26)",,,
25,ex25,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(31, 26)>(30, 30)","(31, 26)","(31, 26)",,,
26,ex26,original,True,False,ok,"(29, 28)","(29, 28)","(29, 28)",0,v4_plus9_compiler
26,ex26,task133_color_bijection,True,False,ok,"(29, 28)","(29, 28)","(29, 28)",0,v4_plus9_compiler
26,ex26,task133_transpose,True,False,ok,"(28, 29)","(28, 29)","(28, 29)",0,v4_plus9_compiler
26,ex26,task133_mirror_lr,True,False,ok,"(29, 28)","(29, 28)","(29, 28)",0,v4_plus9_compiler
26,ex26,task133_mirror_ud,True,False,ok,"(29, 28)","(29, 28)","(29, 28)",0,v4_plus9_compiler
26,ex26,task133_zero_pad_top_left,True,False,ok,"(30, 29)","(30, 29)","(30, 29)",0,v4_plus9_compiler
26,ex26,task133_zero_pad_bottom_right,True,False,ok,"(30, 29)","(30, 29)","(30, 29)",0,v4_plus9_compiler
27,ex27,original,True,False,ok,"(29, 19)","(29, 19)","(29, 19)",0,v4_plus9_compiler
27,ex27,task133_color_bijection,True,False,ok,"(29, 19)","(29, 19)","(29, 19)",0,v4_plus9_compiler
27,ex27,task133_transpose,True,False,ok,"(19, 29)","(19, 29)","(19, 29)",0,v4_plus9_compiler
27,ex27,task133_mirror_lr,True,False,ok,"(29, 19)","(29, 19)","(29, 19)",0,v4_plus9_compiler
27,ex27,task133_mirror_ud,True,False,ok,"(29, 19)","(29, 19)","(29, 19)",0,v4_plus9_compiler
27,ex27,task133_zero_pad_top_left,True,False,ok,"(30, 20)","(30, 20)","(30, 20)",0,v4_plus9_compiler
27,ex27,task133_zero_pad_bottom_right,True,False,ok,"(30, 20)","(30, 20)","(30, 20)",0,v4_plus9_compiler
28,ex28,original,True,False,ok,"(29, 30)","(29, 30)","(29, 30)",0,v4_plus9_compiler
28,ex28,task133_color_bijection,True,False,ok,"(29, 30)","(29, 30)","(29, 30)",0,v4_plus9_compiler
28,ex28,task133_transpose,True,False,ok,"(30, 29)","(30, 29)","(30, 29)",0,v4_plus9_compiler
28,ex28,task133_mirror_lr,True,False,ok,"(29, 30)","(29, 30)","(29, 30)",0,v4_plus9_compiler
28,ex28,task133_mirror_ud,True,False,ok,"(29, 30)","(29, 30)","(29, 30)",0,v4_plus9_compiler
28,ex28,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(30, 31)>(30, 30)","(30, 31)","(30, 31)",,,
28,ex28,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(30, 31)>(30, 30)","(30, 31)","(30, 31)",,,
29,ex29,original,True,False,ok,"(18, 30)","(18, 30)","(18, 30)",0,v4_plus9_compiler
29,ex29,task133_color_bijection,True,False,ok,"(18, 30)","(18, 30)","(18, 30)",0,v4_plus9_compiler
29,ex29,task133_transpose,True,False,ok,"(30, 18)","(30, 18)","(30, 18)",0,v4_plus9_compiler
29,ex29,task133_mirror_lr,True,False,ok,"(18, 30)","(18, 30)","(18, 30)",0,v4_plus9_compiler
29,ex29,task133_mirror_ud,True,False,ok,"(18, 30)","(18, 30)","(18, 30)",0,v4_plus9_compiler
29,ex29,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(19, 31)>(30, 30)","(19, 31)","(19, 31)",,,
29,ex29,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(19, 31)>(30, 30)","(19, 31)","(19, 31)",,,
30,ex30,original,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
30,ex30,task133_color_bijection,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
30,ex30,task133_transpose,True,False,ok,"(21, 29)","(21, 29)","(21, 29)",0,v4_plus9_compiler
30,ex30,task133_mirror_lr,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
30,ex30,task133_mirror_ud,True,False,ok,"(29, 21)","(29, 21)","(29, 21)",0,v4_plus9_compiler
30,ex30,task133_zero_pad_top_left,True,False,ok,"(30, 22)","(30, 22)","(30, 22)",0,v4_plus9_compiler
30,ex30,task133_zero_pad_bottom_right,True,False,ok,"(30, 22)","(30, 22)","(30, 22)",0,v4_plus9_compiler
31,ex31,original,True,False,ok,"(14, 23)","(14, 23)","(14, 23)",0,v4_plus9_compiler
31,ex31,task133_color_bijection,True,False,ok,"(14, 23)","(14, 23)","(14, 23)",0,v4_plus9_compiler
31,ex31,task133_transpose,True,False,ok,"(23, 14)","(23, 14)","(23, 14)",0,v4_plus9_compiler
31,ex31,task133_mirror_lr,True,False,ok,"(14, 23)","(14, 23)","(14, 23)",0,v4_plus9_compiler
31,ex31,task133_mirror_ud,True,False,ok,"(14, 23)","(14, 23)","(14, 23)",0,v4_plus9_compiler
31,ex31,task133_zero_pad_top_left,True,False,ok,"(15, 24)","(15, 24)","(15, 24)",0,v4_plus9_compiler
31,ex31,task133_zero_pad_bottom_right,True,False,ok,"(15, 24)","(15, 24)","(15, 24)",0,v4_plus9_compiler
32,ex32,original,True,False,ok,"(24, 18)","(24, 18)","(24, 18)",0,v4_plus9_compiler
32,ex32,task133_color_bijection,True,False,ok,"(24, 18)","(24, 18)","(24, 18)",0,v4_plus9_compiler
32,ex32,task133_transpose,True,False,ok,"(18, 24)","(18, 24)","(18, 24)",0,v4_plus9_compiler
32,ex32,task133_mirror_lr,True,False,ok,"(24, 18)","(24, 18)","(24, 18)",0,v4_plus9_compiler
32,ex32,task133_mirror_ud,True,False,ok,"(24, 18)","(24, 18)","(24, 18)",0,v4_plus9_compiler
